card_name,board_name
OneClick Code,Board 1
Linx (6),Board 1
ScaleNorth,Board 1
SysTechCorp (5),Board 1
MSK Infotek (5),Board 1
Presidio,Board 1
Ataway (5),Board 1
Bhavna (5),Board 1
Tellabs  (4),Board 1
Authority Partners (5),Board 1
Javen Technologies (5),Board 1
Jubilant Consulting,Board 1
Tanisha Systems,Board 1
Creative Synergies Group,Board 1
Perfetti Van Melle,Board 1
NeelBlue Technology (3),Board 1
Black Diamond,Board 1
The Silicon Partners Inc,Board 1
The Brixton Group (5),Board 1
The Dignify Solutions,Board 1
Net Friends,Board 1
Unosquare,Board 1
Copper Wolf,Board 1
Exertus (construction),Board 1
Apolis Rises,Board 1
Codilar,Board 1
EITACIES,Board 1
VLDOC / Digital Solutions,Board 1
Mubea,Board 1
Baires Dev,Board 1
Ledgent Technology,Board 1
3A Soft Inc,Board 1
Danta Technologies,Board 1
WiPro,Board 1
Syntrycate Technologies,Board 1
SNCLOUD Solutions,Board 1
Y&L Consulting,Board 1
Infojini Inc,Board 1
Gibitnet,Board 1
Voto Consulting,Board 1
Smart Folks,Board 1
accelerize360 (5),Board 1
Proxet (5),Board 1
Vetta (5),Board 1
GNC-Consulting,Board 1
Crucial Recruiting (3),Board 1
Cognits (3),Board 1
HR Link Group (1),Board 1
Nava Software,Board 1
Pyramid Consulting,Board 1
Culinovo,Board 1
Software Guidance & Assistance (SGA),Board 1
Brintell (5),Board 1
Level Access,Board 1
Horizontal Talent,Board 1
Pyramid Consulting,Board 1
Tek Yantra,Board 1
United Software Group (Vivid Soft Global),Board 1
Sigmoid,Board 1
NMC Managed,Board 1
Feuji,Board 1
Accord Innovations,Board 1
Saven Technologies,Board 1
Data Network,Board 1
Sharp Decisions,Board 1
Parmesoft,Board 1
Aspire Systems,Board 1
Symphony,Board 1
NearshoreInMexico,Board 1
Amzur Technologies,Board 1
Apollo Information Systems,Board 1
Optomi,Board 1
Truelogic Software,Board 1
Catalyte,Board 1
Inspiration Global,Board 1
Neo Tech Solutions,Board 1
Ameri100,Board 1
Innovative Information Technologies,Board 1
Peterson Technology Partners Inc.,Board 1
AVM Consulting,Board 1
LTImindtree,Board 1
MHP,Board 1
MAS Global Consulting,Board 1
JBSDEV,Board 1
Evolutyz Corp,Board 1
CAS Cloud Accountant Staffing,Board 1
Gentis Solutions,Board 1
Data Capital,Board 1
APPropoz Solutions,Board 1
Black Box,Board 1
Adbakx (4),Board 1
New York Technology Partners,Board 1
Apex Systems,Board 1
TEK Inspirations LLC - VETADO,Board 1
Launch Consulting,Board 1
HCL Technologies,Board 1
Tekshapers,Board 1
Coralogix,Board 1
TECHLOGIC SOLUTIONS LLC,Board 1
Ambient Consulting,Board 1
Odyssey Information Services,Board 1
Eidiko Systems Integrators,Board 1
Talent Junction LLC,Board 1
Recro,Board 1
KTEK Resourcing,Board 1
RG Talent,Board 1
datanetiix,Board 1
Welded Tube of Canada,Board 1
Netsync Network Solutions,Board 1
Delta System & Software,Board 1
Infocepts,Board 1
Provectus,Board 1
Seven Seven Softwares,Board 1
"Kivyo, Inc.",Board 1
AIT Global Inc.,Board 1
CMIT Solutions,Board 1
"Ramisun, Inc",Board 1
45 Solutions,Board 1
AXKAN Soluciones,Board 1
Siri InfoSolutions,Board 1
M&S Consulting,Board 1
Jupiter Technologies,Board 1
Mygo Consulting,Board 1
Master Card,Board 1
InfoSmart Technologies,Board 1
Ampcus Inc,Board 1
Fixity Tech,Board 1
Diverse Lynx,Board 1
V2 Innovations,Board 1
VySystems,Board 1
Signifyd,Board 1
Svitla,Board 1
Findem,Board 1
MAINTEC Technologies,Board 1
TechnoCore360,Board 1
SoftNice,Board 1
Crox Consulting,Board 1
Egen Solutions,Board 1
DENALI,Board 1
Seattle Children's Hospital,Board 1
MCG,Board 1
One IT Corp,Board 1
IT Solutions Consulting,Board 1
TekIntegral,Board 1
Atwix,Board 1
Business Integra,Board 1
spiralyze.com,Board 1
Synkriom,Board 1
JobVritta,Board 1
Sysmind,Board 1
BGSF,Board 1
Enuke Software,Board 1
ZeroFox,Board 1
Adroit Associates,Board 1
Tek Leaders Inc.,Board 1
Huntress,Board 1
Tech IT Group,Board 1
Syberry,Board 1
Closeloop Technologies,Board 1
UniteFans,Board 1
Apolis,Board 1
Exarca Inc,Board 1
Vision33,Board 1
DnA Consulting,Board 1
"Siri InfoSolutions, Inc",Board 1
ClinDCast,Board 1
Pacific Consultancy Services,Board 1
Shef Solutions Inc.,Board 1
Peritus - A Colina Tech Group,Board 1
Altezzasys INC,Board 1
Sight Spectrum,Board 1
Satwic Inc,Board 1
NAVA TECH LLC,Board 1
Involgix,Board 1
Saguna Consulting Services,Board 1
Mentour Corporation,Board 1
eCom Solutions,Board 1
Anveta,Board 1
LiveMindz,Board 1
Vertex Solutions Inc.,Board 1
JS Consulting Solution,Board 1
Zuven Technologies,Board 1
Intellisoft Technologies,Board 1
WillDom,Board 1
Dyspatch,Board 1
Alpha Net,Board 1
Exaways,Board 1
Apptad,Board 1
K&K Global Talent Solutions,Board 1
Dedicated IT,Board 1
eTeam,Board 1
Accroid Inc,Board 1
Ascendion (7),Board 1
Aevitas (1),Board 1
Tekton Labs,Board 1
Aptask,Board 1
Artech,Board 1
Microgreen Technologies (5),Board 1
Merit4All,Board 1
10Pearls LATAM,Board 1
Chaintech,Board 2
AMTEX,Board 2
Tech Holding,Board 2
Digital Realty,Board 2
Corestack,Board 2
InsureTech,Board 2
Cegid PoepleNet,Board 2
Boon Software,Board 2
Avalara,Board 2
Aquera,Board 2
Ayden,Board 2
Fast Cloud Consulting,Board 2
Sottelli,Board 2
"Minsait (in ATS, recent, no jobs)",Board 2
Softka Technologies,Board 2
The Caldwell Group (4),Board 2
Metalight (4),Board 2
DataSync (4),Board 2
PTR Global (5),Board 2
Whatnot (5),Board 2
Georgia IT (5),Board 2
Zuri (5),Board 2
SynapOne (5),Board 2
RONIN Studies (5),Board 2
Optery (5),Board 2
Innodata (5),Board 2
Velozient (5),Board 2
RELISH (5),Board 2
Halo Media (5),Board 2
Capstone IT (5),Board 2
TechDemocracy,Board 2
Hiresquad Resources (2),Board 2
GraceMark Solutions (5),Board 2
DYCSI (5),Board 2
VeraLogics (5),Board 2
MIGNOW (5),Board 2
Sentinel Group (5),Board 2
Webflow (5),Board 2
Reuben Cooley (5),Board 2
ADDSOURCE (5),Board 2
SOMMA IT (5),Board 2
TTC Group (5),Board 2
89 Solutions (5),Board 2
Interlaced (5),Board 2
